"Código","Departamento","Promedio de personas por hogar","Promedio de personas por dormitorio"
1,"Guatemala",3.98,1.8
2,"El Progreso",3.99,2.08
3,"Sacatepéquez",4.26,1.91
4,"Chimaltenango",4.84,2.33
5,"Escuintla",3.95,2.33
6,"Santa Rosa",4.03,2.24
7,"Sololá",4.92,2.4
8,"Totonicapán",5.4,2.67
9,"Quetzaltenango",4.55,2.15
10,"Suchitepéquez",4.46,2.63
11,"Retalhuleu",4.43,2.48
12,"San Marcos",5.07,2.78
13,"Huehuetenango",5.18,2.81
14,"Quiché",5.57,2.91
15,"Baja Verapaz",4.4,2.5
16,"Alta Verapaz",5.32,3.27
17,"Petén",4.37,2.44
18,"Izabal",4.3,2.44
19,"Zacapa",4.11,2.2
20,"Chiquimula",4.56,2.51
21,"Jalapa",4.66,2.45
22,"Jutiapa",4.18,2.27
